order_id,customer_id,order_date,channel,status,quantity,discount_pct
O00105,C0226,2026-04-27,Store,Delivered,5,10
O00106,C0053,2026-02-02,E-commerce,Delivered,5,5
O00107,C0428,2026-02-28,Mobile App,Delivered,4,5
O00108,C0355,2026-04-03,E-commerce,Delivered,5,10
O00109,C0500,2025-11-27,Store,Delivered,5,10
O00110,C0342,2026-05-14,E-commerce,Delivered,2,10
O00111,C0364,2025-11-12,Mobile App,Delivered,2,5
O00112,C0280,2026-02-26,E-commerce,Returned,4,5
O00113,C0081,2026-03-31,E-commerce,Delivered,1,10
O00114,C0202,2026-06-20,E-commerce,Delivered,4,0
O00115,C0158,2026-04-22,Store,Delivered,3,5
O00116,C0120,2026-04-27,Mobile App,Delivered,5,0
O00117,C0059,2026-04-11,Store,Delivered,1,0
O00118,C0494,2025-12-28,E-commerce,Delivered,2,0
O00119,C0215,2026-07-10,E-commerce,Delivered,3,0
O00120,C0128,2026-05-22,E-commerce,Delivered,3,0
O00121,C0224,2026-03-26,Store,Delivered,5,10
O00122,C0209,2025-12-04,E-commerce,Delivered,2,0
O00123,C0370,2026-04-10,Store,Delivered,1,5
O00124,C0115,2026-06-03,Store,Delivered,2,20
O00125,C0209,2026-04-19,Store,Returned,5,15
O00126,C0014,2026-07-06,Mobile App,Delivered,3,5
O00127,C0009,2025-12-28,Mobile App,Delivered,5,20
O00128,C0040,2026-05-26,Store,Delivered,4,5
O00129,C0450,2026-05-31,E-commerce,Returned,3,0
O00130,C0237,2025-11-03,Mobile App,Delivered,5,25
O00131,C0281,2026-06-25,E-commerce,Delivered,1,20
O00132,C0359,2026-08-16,E-commerce,Returned,1,10
O00133,C0201,2025-09-11,E-commerce,Cancelled,1,10
O00134,C0246,2025-12-07,E-commerce,Delivered,4,10
O00135,C0278,2025-11-10,E-commerce,Delivered,2,0
O00136,C0235,2026-08-30,E-commerce,Delivered,1,0
O00137,C0494,2025-10-28,Mobile App,Delivered,4,10
O00138,C0004,2026-06-17,E-commerce,Returned,1,20
O00139,C0154,2026-05-09,Mobile App,Delivered,4,0
O00140,C0442,2026-06-03,E-commerce,Cancelled,1,15
O00141,C0029,2025-10-20,Mobile App,Delivered,2,0
O00142,C0109,2026-08-24,Mobile App,Delivered,5,10
O00143,C0098,2026-04-04,Mobile App,Delivered,1,10
O00144,C0215,2025-10-22,Mobile App,Delivered,5,10
O00145,C0293,2026-05-29,E-commerce,Delivered,1,0
O00146,C0075,2025-11-23,Store,Delivered,2,5
O00147,C0326,2026-06-20,E-commerce,Delivered,5,10
O00148,C0146,2026-01-04,E-commerce,Delivered,4,0
O00149,C0128,2026-06-23,Mobile App,Delivered,1,0
O00150,C0341,2025-11-11,E-commerce,Delivered,1,10
O00151,C0042,2026-06-23,Mobile App,Delivered,4,10
O00152,C0356,2026-04-24,Mobile App,Delivered,2,0
O00153,C0041,2025-10-26,E-commerce,Delivered,3,10
O00154,C0422,2026-08-26,E-commerce,Delivered,1,20
O00155,C0034,2025-12-19,E-commerce,Delivered,4,0
O00156,C0017,2026-03-11,Store,Delivered,3,10
O00157,C0165,2025-12-02,Mobile App,Delivered,1,0
O00158,C0153,2026-08-16,E-commerce,Delivered,5,0
O00159,C0486,2025-10-26,E-commerce,Delivered,4,0
O00160,C0378,2025-10-30,Mobile App,Delivered,5,5
O00161,C0076,2026-01-16,Store,Delivered,2,15
O00162,C0087,2025-10-09,E-commerce,Cancelled,3,5
O00163,C0117,2025-09-28,E-commerce,Delivered,4,10
O00164,C0362,2025-10-19,Store,Delivered,1,5
O00165,C0342,2026-01-03,E-commerce,Delivered,1,0
O00166,C0469,2025-09-13,E-commerce,Delivered,3,10
O00167,C0027,2025-10-06,Store,Returned,5,15
O00168,C0313,2025-12-10,Mobile App,Delivered,5,15
O00169,C0287,2026-06-09,E-commerce,Delivered,4,15
O00170,C0134,2025-11-25,E-commerce,Delivered,4,5
O00171,C0219,2025-09-04,E-commerce,Delivered,5,15
O00172,C0168,2026-04-11,E-commerce,Delivered,4,0
O00173,C0098,2026-08-04,Store,Delivered,5,15
O00174,C0268,2026-02-13,E-commerce,Delivered,3,20
O00175,C0237,2026-08-10,Mobile App,Delivered,4,0
O00176,C0309,2026-06-05,Store,Delivered,5,5
O00177,C0455,2026-01-08,E-commerce,Delivered,4,10
O00178,C0394,2025-10-01,E-commerce,Delivered,1,15
O00179,C0173,2025-09-11,Mobile App,Returned,1,0
O00180,C0401,2026-06-29,Store,Delivered,2,25
O00181,C0410,2025-12-05,Store,Delivered,5,10
O00182,C0469,2026-03-09,E-commerce,Delivered,2,0
O00183,C0476,2026-03-11,Mobile App,Delivered,5,0
O00184,C0190,2026-05-24,Mobile App,Delivered,4,15
O00185,C0122,2026-01-06,Store,Delivered,5,0
O00186,C0046,2026-04-26,E-commerce,Delivered,1,0
O00187,C0064,2026-08-21,Mobile App,Delivered,4,10
O00188,C0130,2025-12-21,Store,Returned,1,10
O00189,C0310,2026-07-13,E-commerce,Delivered,4,10
O00190,C0363,2026-08-09,E-commerce,Cancelled,5,5
O00191,C0193,2026-01-23,E-commerce,Delivered,5,15
O00192,C0307,2025-11-04,E-commerce,Returned,1,25
O00193,C0181,2026-05-05,E-commerce,Delivered,3,5
O00194,C0292,2026-04-11,Store,Delivered,5,15
O00195,C0371,2026-07-10,E-commerce,Delivered,3,20
O00196,C0282,2025-12-15,E-commerce,Delivered,4,10
O00197,C0029,2026-02-28,Mobile App,Delivered,3,10
O00198,C0149,2026-03-03,E-commerce,Delivered,1,0
O00199,C0267,2026-04-14,E-commerce,Delivered,2,10
O00200,C0296,2026-05-23,Mobile App,Delivered,2,10
O00201,C0011,2026-06-05,Store,Delivered,1,15
O00202,C0164,2025-11-28,Mobile App,Delivered,2,25
O00203,C0113,2026-02-23,Mobile App,Delivered,1,0
O00204,C0187,2025-09-18,E-commerce,Cancelled,5,0
O00205,C0295,2025-12-15,Store,Delivered,3,0
O00206,C0232,2026-05-29,E-commerce,Returned,2,15
O00207,C0227,2026-07-16,Store,Delivered,5,0
O00208,C0310,2026-02-14,E-commerce,Delivered,2,10
O00209,C0098,2025-09-13,Store,Delivered,4,5
O00210,C0055,2026-08-03,Mobile App,Delivered,1,10
O00211,C0111,2025-10-02,Store,Delivered,1,0
O00212,C0152,2025-10-10,E-commerce,Delivered,5,20
O00213,C0246,2026-01-26,E-commerce,Delivered,4,10
O00214,C0406,2026-04-06,Mobile App,Delivered,3,20
O00215,C0069,2026-04-07,Store,Delivered,4,10
O00216,C0312,2025-11-21,E-commerce,Delivered,4,0
O00217,C0289,2026-07-30,Store,Delivered,3,0
O00218,C0250,2026-03-27,Store,Delivered,3,25
O00219,C0036,2026-03-20,E-commerce,Delivered,4,15
O00220,C0239,2026-07-29,Store,Delivered,2,0
O00221,C0148,2025-10-08,Mobile App,Delivered,2,15
O00222,C0467,2026-03-30,E-commerce,Delivered,4,5
O00223,C0227,2026-07-24,E-commerce,Delivered,2,5
O00224,C0244,2026-05-07,Mobile App,Delivered,3,0
O00225,C0491,2026-04-15,Mobile App,Delivered,3,15
O00226,C0337,2025-10-18,E-commerce,Delivered,2,0
O00227,C0446,2025-09-18,Mobile App,Delivered,3,5
O00228,C0365,2026-06-22,Mobile App,Delivered,1,5
O00229,C0491,2026-03-15,Mobile App,Delivered,3,0
O00230,C0482,2026-03-06,E-commerce,Delivered,4,10
O00231,C0201,2026-08-11,Store,Cancelled,5,0
O00232,C0154,2026-04-12,E-commerce,Delivered,2,5
O00233,C0450,2026-07-15,E-commerce,Delivered,2,20
O00234,C0073,2026-08-31,E-commerce,Delivered,3,5
O00235,C0201,2026-08-03,E-commerce,Delivered,3,5
O00236,C0296,2026-04-17,Store,Cancelled,5,10
O00237,C0017,2025-11-16,E-commerce,Delivered,5,10
O00238,C0129,2026-03-07,Mobile App,Returned,4,15
O00239,C0217,2026-08-12,E-commerce,Delivered,1,0
O00240,C0061,2026-05-28,E-commerce,Delivered,4,20
O00241,C0427,2025-12-04,Store,Delivered,2,15
O00242,C0104,2026-07-07,Store,Delivered,3,15
O00243,C0042,2026-01-10,E-commerce,Delivered,4,0
O00244,C0025,2025-10-09,Mobile App,Delivered,3,0
O00245,C0039,2025-11-11,E-commerce,Delivered,3,10
O00246,C0291,2026-06-08,E-commerce,Cancelled,4,20
O00247,C0131,2026-07-30,Store,Delivered,4,10
O00248,C0498,2026-02-07,Store,Delivered,5,0
O00249,C0229,2026-03-06,E-commerce,Delivered,1,0
O00250,C0108,2026-03-10,Store,Delivered,5,10
O00251,C0172,2025-12-29,Mobile App,Delivered,1,15
O00252,C0435,2026-04-08,E-commerce,Delivered,4,0
O00253,C0478,2025-10-23,Mobile App,Delivered,1,0
O00254,C0102,2026-04-10,Mobile App,Delivered,2,5
O00255,C0354,2026-01-09,Mobile App,Delivered,5,10
O00256,C0012,2026-04-25,E-commerce,Delivered,5,15
O00257,C0275,2026-05-04,Mobile App,Returned,5,15
O00258,C0101,2026-04-14,E-commerce,Delivered,3,10
O00259,C0044,2026-03-27,Store,Delivered,3,0
O00260,C0443,2025-12-05,Mobile App,Delivered,4,10
O00261,C0305,2026-03-19,E-commerce,Delivered,4,25
O00262,C0445,2026-05-05,Store,Delivered,3,20
O00263,C0017,2025-11-11,Store,Delivered,5,20
O00264,C0330,2026-07-15,Store,Delivered,3,5
O00265,C0057,2026-03-04,E-commerce,Delivered,1,15
O00266,C0311,2025-09-06,E-commerce,Delivered,5,20
O00267,C0497,2026-03-25,Mobile App,Delivered,3,10
O00268,C0303,2025-10-02,E-commerce,Delivered,4,5
O00269,C0012,2025-12-08,Store,Delivered,3,25
O00270,C0318,2026-05-14,E-commerce,Delivered,2,10
O00271,C0080,2026-03-06,E-commerce,Cancelled,3,0
O00272,C0216,2025-11-15,E-commerce,Delivered,5,0
O00273,C0339,2026-02-24,E-commerce,Delivered,3,10
O00274,C0264,2026-07-12,Store,Delivered,4,5
O00275,C0479,2026-06-14,E-commerce,Delivered,1,0
O00276,C0149,2026-08-15,E-commerce,Delivered,2,15
O00277,C0081,2026-05-13,E-commerce,Returned,5,15
O00278,C0215,2026-07-22,Mobile App,Returned,4,15
O00279,C0485,2026-03-09,E-commerce,Delivered,2,0
O00280,C0374,2026-07-05,Mobile App,Delivered,3,10
O00281,C0464,2026-08-11,Mobile App,Delivered,2,0
O00282,C0198,2026-01-05,Mobile App,Delivered,1,5
O00283,C0200,2026-06-14,Store,Delivered,2,5
O00284,C0025,2026-05-12,Store,Delivered,2,15
O00285,C0466,2026-04-01,Store,Delivered,3,5
O00286,C0089,2026-05-08,E-commerce,Delivered,3,0
O00287,C0268,2025-11-23,E-commerce,Delivered,5,5
O00288,C0143,2025-09-13,E-commerce,Delivered,3,10
O00289,C0059,2025-10-15,Store,Delivered,2,20
O00290,C0410,2026-01-05,Store,Delivered,1,20
O00291,C0489,2025-12-23,Store,Delivered,3,0
O00292,C0365,2026-06-03,E-commerce,Delivered,5,0
O00293,C0026,2026-03-24,Store,Delivered,5,0
O00294,C0047,2026-08-03,E-commerce,Delivered,2,15
O00295,C0288,2026-05-31,E-commerce,Delivered,3,0
O00296,C0266,2025-10-28,E-commerce,Returned,3,0
O00297,C0016,2026-07-25,E-commerce,Delivered,5,10
O00298,C0199,2026-04-07,Mobile App,Delivered,3,0
O00299,C0401,2025-12-18,E-commerce,Delivered,2,0
O00300,C0407,2026-06-06,E-commerce,Returned,1,5
O00301,C0282,2026-02-21,Mobile App,Delivered,2,5
O00302,C0469,2026-07-25,Store,Cancelled,3,10
O00303,C0086,2026-05-22,Mobile App,Delivered,2,25
O00304,C0250,2026-07-12,E-commerce,Returned,4,0
O00305,C0391,2025-12-20,Store,Delivered,4,5
O00306,C0270,2026-03-06,Store,Delivered,3,20
O00307,C0335,2026-05-27,E-commerce,Cancelled,3,20
O00308,C0117,2026-04-17,Mobile App,Cancelled,1,5
O00309,C0007,2026-02-03,E-commerce,Delivered,2,10
O00310,C0137,2026-03-08,E-commerce,Delivered,1,0
O00311,C0371,2026-05-30,Mobile App,Delivered,3,15
O00312,C0176,2025-09-02,Store,Delivered,3,25
O00313,C0328,2026-05-04,E-commerce,Delivered,5,10
O00314,C0498,2026-03-29,Store,Returned,1,10
O00315,C0315,2026-06-13,Store,Delivered,3,0
O00316,C0215,2026-08-25,Store,Delivered,4,10
O00317,C0477,2025-09-13,E-commerce,Delivered,5,10
O00318,C0082,2025-12-05,Store,Delivered,2,10
O00319,C0223,2026-04-09,E-commerce,Delivered,5,0
O00320,C0478,2026-04-26,Mobile App,Delivered,2,10
O00321,C0372,2025-12-03,E-commerce,Delivered,4,10
O00322,C0423,2026-08-04,E-commerce,Delivered,2,0
O00323,C0483,2026-05-27,Mobile App,Delivered,1,0
O00324,C0402,2026-02-18,E-commerce,Delivered,2,5
O00325,C0443,2025-12-03,E-commerce,Returned,2,15
O00326,C0490,2026-01-27,E-commerce,Delivered,5,10
O00327,C0103,2025-12-21,Mobile App,Delivered,4,15
O00328,C0273,2025-10-25,E-commerce,Delivered,2,5
O00329,C0014,2026-08-03,Store,Delivered,1,20
O00330,C0159,2025-12-25,E-commerce,Delivered,5,15
O00331,C0152,2026-01-21,E-commerce,Delivered,4,5
O00332,C0483,2026-03-20,E-commerce,Delivered,4,0
O00333,C0108,2026-02-27,E-commerce,Delivered,3,5
O00334,C0188,2026-03-21,E-commerce,Delivered,1,25
O00335,C0301,2026-08-30,E-commerce,Cancelled,5,5
O00336,C0098,2025-10-23,Store,Delivered,5,5
O00337,C0131,2026-02-27,Mobile App,Returned,1,0
O00338,C0293,2026-07-10,E-commerce,Delivered,4,15
O00339,C0171,2026-07-05,E-commerce,Delivered,2,5
O00340,C0424,2026-01-15,Store,Delivered,1,5
O00341,C0474,2026-03-01,E-commerce,Delivered,5,5
O00342,C0183,2025-09-01,E-commerce,Delivered,1,5
O00343,C0471,2025-10-14,Store,Delivered,4,5
O00344,C0364,2026-04-15,Mobile App,Delivered,3,10
O00345,C0039,2026-07-28,Mobile App,Delivered,3,15
O00346,C0015,2025-12-07,E-commerce,Returned,2,15
O00347,C0376,2026-03-27,E-commerce,Delivered,2,15
O00348,C0497,2026-05-23,Mobile App,Delivered,4,0
O00349,C0004,2026-06-15,E-commerce,Delivered,2,15
O00350,C0349,2026-05-29,Mobile App,Delivered,3,0
O00351,C0470,2026-01-18,Mobile App,Delivered,4,0
O00352,C0409,2026-04-25,E-commerce,Delivered,4,20
O00353,C0397,2025-11-11,Store,Delivered,4,15
O00354,C0210,2026-02-02,Store,Delivered,1,10
O00355,C0161,2026-03-09,Mobile App,Delivered,2,20
O00356,C0016,2026-05-26,E-commerce,Delivered,5,25
O00357,C0493,2026-07-18,E-commerce,Returned,3,10
O00358,C0426,2025-12-16,E-commerce,Delivered,2,10
O00359,C0108,2026-04-20,E-commerce,Delivered,3,15
O00360,C0382,2025-10-12,Store,Cancelled,2,0
O00361,C0450,2026-03-09,E-commerce,Delivered,5,0
O00362,C0311,2026-01-17,E-commerce,Delivered,3,15
O00363,C0227,2025-12-12,E-commerce,Delivered,5,5
O00364,C0170,2026-02-18,Mobile App,Delivered,3,0
O00365,C0034,2026-08-17,E-commerce,Returned,1,5
O00366,C0414,2026-05-31,E-commerce,Delivered,1,5
O00367,C0251,2026-04-09,E-commerce,Delivered,3,25
O00368,C0247,2026-04-01,Store,Delivered,3,10
O00369,C0269,2026-08-07,E-commerce,Cancelled,5,10
O00370,C0141,2025-10-26,Store,Delivered,4,25
O00371,C0274,2026-08-08,Store,Delivered,3,20
O00372,C0416,2025-12-11,E-commerce,Returned,2,10
O00373,C0096,2026-03-11,Store,Delivered,2,20
O00374,C0227,2026-07-07,E-commerce,Delivered,2,5
O00375,C0379,2026-03-19,Store,Delivered,1,0
O00376,C0039,2026-04-21,Mobile App,Delivered,5,0
O00377,C0302,2026-04-15,E-commerce,Delivered,1,10
O00378,C0500,2026-01-17,E-commerce,Delivered,2,10
O00379,C0029,2026-08-10,E-commerce,Delivered,3,10
O00380,C0446,2026-07-02,Store,Delivered,2,10
O00381,C0497,2026-01-27,E-commerce,Delivered,3,0
O00382,C0477,2025-12-24,Mobile App,Delivered,5,0
O00383,C0318,2025-11-02,E-commerce,Delivered,4,10
O00384,C0245,2025-12-13,Store,Returned,3,0
O00385,C0236,2026-08-05,E-commerce,Delivered,1,10
O00386,C0185,2026-08-25,Mobile App,Returned,2,10
O00387,C0272,2026-02-03,E-commerce,Delivered,2,10
O00388,C0440,2026-05-31,Mobile App,Delivered,2,5
O00389,C0236,2025-09-06,E-commerce,Delivered,3,10
O00390,C0239,2026-01-25,E-commerce,Delivered,5,15
O00391,C0377,2026-03-03,E-commerce,Delivered,3,25
O00392,C0266,2025-09-28,Mobile App,Delivered,1,15
O00393,C0414,2025-10-08,E-commerce,Cancelled,2,10
O00394,C0409,2025-12-28,Mobile App,Delivered,3,0
O00395,C0359,2026-06-20,E-commerce,Delivered,2,10
O00396,C0340,2026-05-02,Store,Returned,1,20
O00397,C0389,2025-11-07,Store,Cancelled,4,0
O00398,C0065,2026-04-02,Mobile App,Returned,4,5
O00399,C0478,2026-04-06,E-commerce,Delivered,4,0
O00400,C0177,2026-02-24,E-commerce,Delivered,2,15
O00401,C0003,2026-06-26,E-commerce,Delivered,3,5
O00402,C0429,2026-02-11,E-commerce,Delivered,2,0
O00403,C0142,2025-10-28,Mobile App,Delivered,5,20
O00404,C0376,2026-05-27,Mobile App,Delivered,3,10
O00405,C0158,2026-07-05,Store,Delivered,1,5
O00406,C0498,2025-10-28,E-commerce,Delivered,4,5
O00407,C0324,2026-06-15,Mobile App,Delivered,3,5
O00408,C0146,2025-12-14,E-commerce,Delivered,3,10
O00409,C0446,2026-04-16,Mobile App,Delivered,4,5
O00410,C0293,2026-05-05,E-commerce,Delivered,1,10
O00411,C0153,2026-03-07,E-commerce,Delivered,2,15
O00412,C0432,2025-11-22,E-commerce,Delivered,2,10
O00413,C0193,2026-03-05,Mobile App,Delivered,3,5
O00414,C0437,2026-05-10,Store,Delivered,4,10
O00415,C0494,2026-08-21,E-commerce,Delivered,5,15
O00416,C0463,2026-04-26,E-commerce,Cancelled,1,0
O00417,C0073,2026-08-26,E-commerce,Delivered,2,0
O00418,C0399,2026-03-03,Mobile App,Delivered,1,10
O00419,C0305,2026-06-11,E-commerce,Delivered,1,10
O00420,C0377,2026-03-29,Store,Delivered,1,0
O00421,C0344,2026-07-01,Store,Delivered,4,15
O00422,C0452,2026-06-23,Store,Delivered,4,10
O00423,C0140,2025-12-06,E-commerce,Delivered,4,20
O00424,C0187,2026-03-27,Store,Delivered,3,0
O00425,C0293,2026-01-15,Mobile App,Delivered,4,15
O00426,C0061,2026-03-03,E-commerce,Delivered,3,0
O00427,C0485,2025-11-15,Mobile App,Delivered,2,10
O00428,C0427,2026-06-14,Store,Delivered,2,10
O00429,C0380,2026-01-20,E-commerce,Delivered,2,5
O00430,C0198,2026-04-25,E-commerce,Delivered,2,15
O00431,C0295,2025-09-25,E-commerce,Delivered,2,0
O00432,C0440,2026-06-17,Mobile App,Delivered,4,10
O00433,C0319,2025-11-06,E-commerce,Delivered,5,0
O00434,C0302,2026-05-08,Store,Delivered,4,15
O00435,C0344,2025-12-27,Mobile App,Delivered,5,0
O00436,C0011,2025-11-12,Mobile App,Delivered,4,15
O00437,C0062,2026-06-09,E-commerce,Delivered,2,15
O00438,C0333,2026-08-26,Mobile App,Delivered,1,15
O00439,C0226,2025-09-10,E-commerce,Cancelled,5,0
O00440,C0153,2026-03-30,E-commerce,Delivered,1,10
O00441,C0199,2026-07-20,Mobile App,Delivered,2,0
O00442,C0052,2026-01-30,E-commerce,Delivered,5,15
O00443,C0260,2025-09-05,Mobile App,Delivered,1,15
O00444,C0059,2026-03-14,E-commerce,Cancelled,4,10
O00445,C0072,2026-06-10,E-commerce,Delivered,2,15
O00446,C0148,2025-12-22,E-commerce,Delivered,4,0
O00447,C0349,2026-05-29,Store,Delivered,4,10
O00448,C0063,2026-02-10,Mobile App,Delivered,2,5
O00449,C0310,2025-12-14,Mobile App,Delivered,5,25
O00450,C0373,2026-02-28,E-commerce,Delivered,3,20
O00451,C0243,2025-10-14,E-commerce,Delivered,3,15
O00452,C0493,2026-06-09,Store,Delivered,2,20
O00453,C0366,2026-02-22,E-commerce,Returned,3,5
O00454,C0330,2026-02-09,E-commerce,Delivered,1,20
O00455,C0107,2026-08-17,Mobile App,Delivered,5,5
O00456,C0226,2026-08-06,E-commerce,Returned,4,15
O00457,C0313,2026-01-18,Store,Delivered,4,15
O00458,C0218,2026-01-10,Mobile App,Cancelled,2,0
O00459,C0425,2025-11-26,E-commerce,Delivered,4,5
O00460,C0241,2026-02-23,E-commerce,Delivered,1,0
O00461,C0259,2026-03-02,E-commerce,Delivered,1,25
O00462,C0376,2026-01-07,Store,Delivered,2,0
O00463,C0262,2026-05-04,Mobile App,Delivered,4,10
O00464,C0005,2025-11-28,E-commerce,Delivered,3,15
O00465,C0261,2025-11-05,E-commerce,Delivered,3,0
O00466,C0054,2026-02-05,Mobile App,Delivered,5,10
O00467,C0047,2026-01-27,Mobile App,Delivered,2,10
O00468,C0215,2026-08-06,E-commerce,Delivered,5,0
O00469,C0177,2025-12-25,E-commerce,Returned,3,15
O00470,C0009,2026-04-02,E-commerce,Delivered,3,5
O00471,C0099,2026-06-21,Mobile App,Delivered,3,0
O00472,C0020,2026-05-11,Store,Delivered,5,10
O00473,C0378,2026-01-21,E-commerce,Returned,2,5
O00474,C0241,2026-05-08,Mobile App,Returned,1,20
O00475,C0061,2026-06-29,E-commerce,Delivered,1,20
O00476,C0379,2025-09-25,E-commerce,Cancelled,3,10
