customer_id,customer_segment,region
C0195,Loyal,East
C0196,Regular,North
C0197,Loyal,North
C0198,Loyal,West
C0199,Regular,West
C0200,New,South
C0201,New,West
C0202,Regular,East
C0203,New,East
C0204,Regular,North
C0205,Regular,West
C0206,Loyal,South
C0207,Regular,East
C0208,Loyal,East
C0209,New,South
C0210,New,South
C0211,New,East
C0212,New,East
C0213,Loyal,South
C0214,New,East
C0215,Regular,North
C0216,Regular,North
C0217,Regular,South
C0218,Loyal,West
C0219,New,South
C0220,New,South
C0221,New,West
C0222,Loyal,West
C0223,Regular,West
C0224,Regular,North
C0225,New,East
C0226,Regular,North
C0227,Regular,East
C0228,Loyal,North
C0229,Loyal,East
C0230,Loyal,North
C0231,Loyal,West
C0232,New,South
C0233,Loyal,North
C0234,Regular,East
C0235,New,West
C0236,Regular,North
C0237,Regular,North
C0238,Regular,West
C0239,Loyal,North
C0240,Loyal,South
C0241,New,North
C0242,New,South
C0243,Loyal,South
C0244,Regular,West
C0245,New,North
C0246,Loyal,West
C0247,Loyal,North
C0248,Loyal,North
C0249,Regular,East
C0250,Loyal,North
C0251,Loyal,West
C0252,Loyal,South
C0253,Loyal,North
C0254,New,East
C0255,New,West
C0256,Loyal,North
C0257,Regular,West
C0258,New,East
C0259,Loyal,East
C0260,New,West
C0261,New,North
C0262,Regular,South
C0263,Loyal,East
C0264,Loyal,North
C0265,Regular,North
C0266,Regular,South
C0267,Loyal,East
C0268,Loyal,East
C0269,Regular,North
C0270,New,North
C0271,New,South
C0272,Regular,South
C0273,New,East
C0274,Regular,West
C0275,New,East
C0276,New,North
C0277,Loyal,East
C0278,Loyal,West
C0279,New,South
C0280,New,West
C0281,Loyal,West
C0282,Loyal,West
C0283,Loyal,South
C0284,Regular,West
C0285,New,West
C0286,Loyal,West
C0287,New,North
C0288,Regular,West
C0289,Regular,South
C0290,Loyal,West
C0291,Regular,West
C0292,New,South
C0293,Loyal,West
C0294,New,South
C0295,New,West
C0296,Regular,South
C0297,Regular,West
C0298,Regular,West
C0299,Regular,North
C0300,Regular,North
C0301,Loyal,West
C0302,New,West
C0303,New,East
C0304,New,South
C0305,New,East
C0306,Regular,North
C0307,New,North
C0308,Loyal,North
C0309,Loyal,North
C0310,New,West
C0311,New,North
C0312,Loyal,West
C0313,Loyal,West
C0314,Regular,North
C0315,Loyal,North
C0316,Regular,South
C0317,Regular,East
C0318,Regular,North
C0319,Regular,South
C0320,Regular,South
C0321,New,East
C0322,Loyal,West
C0323,Regular,North
C0324,Loyal,East
C0325,Loyal,North
C0326,Regular,South
C0327,New,South
C0328,Regular,West
C0329,New,South
C0330,Loyal,South
C0331,New,East
C0332,New,North
C0333,New,North
C0334,Loyal,East
C0335,Loyal,West
C0336,New,North
C0337,New,South
C0338,Regular,North
C0339,New,South
C0340,Regular,West
C0341,New,East
C0342,Regular,North
C0343,Loyal,East
C0344,New,North
C0345,New,South
C0346,New,East
C0347,New,North
C0348,Regular,South
C0349,New,East
C0350,Loyal,East
C0351,Loyal,North
C0352,New,North
C0353,Loyal,North
C0354,New,South
C0355,New,North
C0356,Loyal,East
C0357,New,East
C0358,Loyal,North
C0359,Regular,North
C0360,New,West
C0361,Regular,East
C0362,Loyal,South
C0363,Regular,West
C0364,Regular,North
C0365,Loyal,North
C0366,Regular,East
C0367,Regular,North
C0368,Loyal,South
C0369,Regular,East
C0370,Loyal,North
C0371,Regular,East
C0372,Loyal,North
C0373,Loyal,North
C0374,Regular,North
C0375,Regular,South
C0376,Regular,South
C0377,New,East
C0378,New,North
C0379,New,North
C0380,Loyal,South
C0381,Regular,North
C0382,Loyal,South
C0383,New,North
C0384,Regular,East
C0385,Loyal,North
C0386,Regular,North
C0387,Loyal,West
C0388,Regular,South
C0389,New,North
C0390,New,North
C0391,Regular,West
C0392,Loyal,West
C0393,New,South
C0394,New,West
C0395,New,East
C0396,Regular,West
C0397,Regular,East
C0398,Loyal,South
C0399,Loyal,South
C0400,Loyal,South
C0401,Regular,South
C0402,Regular,South
C0403,Loyal,East
C0404,Loyal,East
C0405,Regular,South
C0406,Loyal,West
C0407,New,North
C0408,Regular,South
C0409,Loyal,West
C0410,Regular,North
C0411,New,South
C0412,Regular,South
C0413,Regular,East
C0414,Regular,North
C0415,Regular,North
C0416,New,West
C0417,Regular,East
C0418,Regular,East
C0419,Loyal,East
C0420,Regular,East
C0421,Loyal,North
C0422,New,North
C0423,New,South
C0424,New,South
C0425,New,East
C0426,Loyal,East
C0427,Regular,East
C0428,New,South
C0429,Regular,West
C0430,Loyal,West
C0431,Loyal,South
C0432,Loyal,South
C0433,New,South
C0434,Regular,South
C0435,Regular,South
C0436,Regular,South
C0437,Loyal,East
C0438,New,East
C0439,Loyal,East
C0440,Loyal,East
C0441,Regular,South
C0442,Loyal,West
C0443,Regular,North
C0444,New,South
C0445,Regular,North
C0446,New,West
C0447,Regular,East
C0448,Loyal,West
C0449,Loyal,South
C0450,New,East
C0451,New,South
C0452,New,East
C0453,Regular,North
C0454,Regular,North
C0455,New,North
C0456,Loyal,West
C0457,Regular,South
C0458,Regular,West
C0459,Regular,North
C0460,New,South
C0461,New,North
C0462,New,West
C0463,New,West
C0464,New,West
C0465,Loyal,North
C0466,Loyal,South
C0467,New,South
C0468,Regular,North
C0469,New,South
C0470,Loyal,North
C0471,Loyal,South
C0472,Regular,East
C0473,Loyal,East
C0474,New,West
C0475,Regular,East
C0476,New,East
C0477,New,East
C0478,Regular,North
C0479,New,East
C0480,Loyal,East
C0481,New,West
C0482,Regular,East
C0483,Regular,East
C0484,Regular,South
C0485,New,West
C0486,Regular,West
C0487,Regular,West
C0488,New,West
C0489,Loyal,West
C0490,New,West
C0491,Regular,North
C0492,Regular,East
C0493,New,West
C0494,Loyal,East
C0495,Regular,East
C0496,Regular,North
C0497,Regular,West
C0498,New,South
C0499,Regular,North
C0500,Loyal,South
