product_id,warehouse_id,stock_quantity,reorder_point,stock_out_risk
P0090,W04,296,97,False
P0090,W05,405,186,False
P0091,W01,126,103,False
P0091,W02,136,50,False
P0091,W03,77,90,True
P0091,W04,206,122,False
P0091,W05,394,126,False
P0092,W01,396,89,False
P0092,W02,183,188,True
P0092,W03,411,97,False
P0092,W04,88,92,True
P0092,W05,319,91,False
P0093,W01,228,153,False
P0093,W02,63,60,False
P0093,W03,325,74,False
P0093,W04,54,89,True
P0093,W05,292,74,False
P0094,W01,416,133,False
P0094,W02,280,155,False
P0094,W03,369,168,False
P0094,W04,278,157,False
P0094,W05,187,123,False
P0095,W01,439,162,False
P0095,W02,190,180,False
P0095,W03,391,88,False
P0095,W04,272,140,False
P0095,W05,94,71,False
P0096,W01,89,68,False
P0096,W02,246,63,False
P0096,W03,440,158,False
P0096,W04,74,92,True
P0096,W05,61,104,True
P0097,W01,221,61,False
P0097,W02,266,157,False
P0097,W03,450,132,False
P0097,W04,423,72,False
P0097,W05,423,184,False
P0098,W01,120,195,True
P0098,W02,311,185,False
P0098,W03,308,138,False
P0098,W04,340,91,False
P0098,W05,482,142,False
P0099,W01,27,142,True
P0099,W02,341,50,False
P0099,W03,425,128,False
P0099,W04,370,192,False
P0099,W05,301,155,False
P0100,W01,273,95,False
P0100,W02,22,70,True
P0100,W03,409,87,False
P0100,W04,98,58,False
P0100,W05,284,69,False
